date,y,yhat_lstm,yhat_lstm_0,yhat_lstm_1,predict,predicttrue
2017/2/15,0.567313317,-1,0.634546995,0.365452975,-0.283656659,0
2017/2/16,0.757218472,-1,0.634546995,0.365452975,-0.378609236,0
2017/2/17,0.574958462,-1,0.634546995,0.365452975,-0.287479231,0
2017/2/20,0.62511143,-1,0.554645956,0.445354044,-0.312555715,0
2017/2/21,0.035006126,-1,0.554645956,0.445354044,-0.017503063,0
2017/2/22,0.080032017,-1,0.554645956,0.445354044,-0.040016009,0
2017/2/23,-0.0099995,-1,0.554645956,0.445354044,0.00499975,1
2017/2/24,-0.129915573,-1,0.579347193,0.420652747,0.064957787,1
2017/2/27,0.12507819,-1,0.566095173,0.433904797,-0.062539095,0
2017/2/28,-0.084963895,-1,0.693552852,0.306447119,0.042481948,1
2017/3/1,-0.294565729,-1,0.554645956,0.445354044,0.147282865,1
2017/3/2,-1.800853497,-1,0.748389482,0.251610518,0.900426749,1
2017/3/3,-1.399750964,-1,0.651772678,0.348227233,0.699875482,1
2017/3/6,-1.404821573,-1,0.684970438,0.315029651,0.702410787,1
2017/3/7,-1.116206471,-1,0.638153911,0.36184606,0.558103236,1
2017/3/8,-1.187017257,-1,0.547458947,0.452541083,0.593508629,1
2017/3/9,-1.19207709,0,0.492681563,0.507318377,-0.596038545,0
2017/3/10,-1.050498465,0,0.014937147,0.985062838,-0.525249233,0
2017/3/13,-1.141490282,0,0.016273133,0.983726859,-0.570745141,0
2017/3/14,0.445683189,0,0.007441189,0.992558837,0.222841595,1
2017/3/15,0.656999382,0,0.254242837,0.745757163,0.328499691,1
2017/3/16,0.777860271,0,0.192756861,0.807243109,0.388930136,1
2017/3/17,0.333148559,0,0.058145776,0.941854239,0.16657428,1
2017/3/20,0.388840283,0,0.214774892,0.785225034,0.194420142,1
2017/3/21,0.398940057,0,0.366685331,0.63331461,0.199470029,1
2017/3/22,0.287595748,-1,0.507050157,0.492949873,-0.143797874,0
2017/3/23,0.191996825,-1,0.507050157,0.492949873,-0.095998413,0
2017/3/24,0.201928485,-1,0.733254135,0.266745776,-0.100964243,0
2017/3/27,0.005037149,-1,0.729814708,0.270185292,-0.002518575,0
2017/3/28,-0.267022856,-1,0.647369862,0.352630138,0.133511428,1
2017/3/29,-0.070575191,-1,0.619717062,0.380282968,0.035287596,1
2017/3/30,-0.206856611,-1,0.529721022,0.470279008,0.103428306,1
2017/3/31,-0.161404252,0,0.316461831,0.683538139,-0.080702126,0
2017/4/5,-0.429174373,-1,0.526051044,0.473948956,0.214587187,1
2017/4/6,-0.506048345,0,0.492112786,0.507887244,-0.253024173,0
2017/4/7,-0.581646937,-1,0.545793056,0.454206914,0.290823469,1
2017/4/10,-0.601209278,-1,0.559409797,0.440590292,0.300604639,1
2017/4/11,-0.4601429,0,0.492112786,0.507887244,-0.23007145,0
2017/4/12,-0.749143005,-1,0.512699306,0.487300724,0.374571503,1
2017/4/13,-0.872481947,0,0.494759411,0.505240619,-0.436240974,0
2017/4/14,-0.673641973,-1,0.552232683,0.447767317,0.336820987,1
2017/4/17,-0.400537965,-1,0.56976831,0.43023169,0.200268983,1
2017/4/18,-0.15231522,0,0.485940129,0.514059901,-0.07615761,0
2017/4/19,-0.269206512,-1,0.867307246,0.132692724,0.134603256,1
2017/4/20,-0.416392213,-1,0.834331989,0.165668011,0.208196107,1
2017/4/21,-0.508105356,-1,0.937885582,0.062114485,0.254052678,1
2017/4/24,-0.657578513,-1,0.700874269,0.299125701,0.328789257,1
2017/4/25,-0.433995218,0,0.498485386,0.501514673,-0.216997609,0
2017/4/26,-0.939501422,-1,0.534225106,0.465774924,0.469750711,1
2017/4/27,-1.067453125,-1,0.804520488,0.195479542,0.533726563,1
2017/4/28,-1.468996346,-1,0.704866648,0.295133412,0.734498173,1
2017/5/2,-1.130417909,-1,0.799801767,0.200198233,0.565208955,1
2017/5/3,-1.326693809,-1,0.833439887,0.166560113,0.663346905,1
2017/5/4,-0.993148329,-1,0.988276899,0.011723151,0.496574165,1
2017/5/5,-0.7907209,-1,0.988186419,0.011813504,0.39536045,1
2017/5/8,-0.724101251,-1,0.964820743,0.035179257,0.362050626,1
2017/5/9,-0.426702958,-1,0.984186471,0.015813567,0.213351479,1
2017/5/10,-0.391007341,-1,0.632597148,0.367402792,0.195503671,1
2017/5/11,-0.221964216,-1,0.632597148,0.367402792,0.110982108,1
2017/5/12,-0.386548607,-1,0.632597148,0.367402792,0.193274304,1
2017/5/15,0.015468303,-1,0.632597148,0.367402792,-0.007734152,0
2017/5/16,-0.20600512,-1,0.92373395,0.076266035,0.10300256,1
2017/5/17,-0.046404909,-1,0.995045185,0.00495478,0.023202455,1
2017/5/18,-0.108294882,-1,0.99442333,0.005576651,0.054147441,1
2017/6/19,0.260184316,0,0.452111959,0.547888041,0.130092158,1
2017/6/20,-0.147714276,0,0.382035822,0.617964208,-0.073857138,0
2017/6/21,-0.234442796,-1,0.882521331,0.117478661,0.117221398,1
2017/6/22,-0.260450062,-1,0.613380969,0.386619061,0.130225031,1
2017/6/23,-0.005110254,-1,0.5791412,0.42085883,0.002555127,1
2017/6/26,-0.040828826,-1,0.613380969,0.386619061,0.020414413,1
2017/6/27,-0.122286778,-1,0.676316917,0.323683083,0.061143389,1
2017/6/28,-0.214132844,-1,0.793018758,0.206981212,0.107066422,1
2017/6/29,-0.23975322,-1,0.917757869,0.082242139,0.11987661,1
2017/6/30,-0.193887504,-1,0.972798944,0.027201049,0.096943752,1
2017/7/3,-0.102103337,-1,0.999284804,0.000715182,0.051051669,1
2017/7/4,0.163498912,-1,0.961597681,0.038402326,-0.081749456,0
2017/7/5,0.030657606,-1,0.884315312,0.115684696,-0.015328803,0
2017/7/6,-0.15836934,-1,0.983301401,0.016698658,0.07918467,1
2017/7/7,-0.413825405,-1,0.997253716,0.002746321,0.206912703,1
2017/7/10,-0.327181929,-1,0.997273505,0.002726433,0.163590965,1
2017/7/11,-0.10219725,-1,0.987775803,0.012224222,0.051098625,1
2017/7/12,-0.173797519,-1,0.989301503,0.010698522,0.08689876,1
2017/7/13,-0.102207695,-1,0.99911195,0.00088807,0.051103848,1
2017/7/14,-0.306780075,-1,0.999450624,0.00054939,0.153390038,1
2017/7/17,-0.353131205,-1,0.999277294,0.000722743,0.176565603,1
2017/7/18,-0.271342801,-1,0.996890247,0.00310974,0.135671401,1
2017/7/19,-0.215252236,-1,0.641445756,0.358554304,0.107626118,1
2017/7/20,-0.312844833,-1,0.896685421,0.103314579,0.156422417,1
2017/7/21,-0.599955649,-1,0.897558212,0.10244175,0.299977825,1
2017/7/24,-0.487217929,-1,0.896965981,0.103034042,0.243608965,1
2017/7/25,-0.512611334,-1,0.654311359,0.345688581,0.256305667,1
2017/7/26,-0.307724112,-1,0.513503671,0.486496389,0.153862056,1
2017/7/27,-0.385257957,-1,0.751983225,0.248016775,0.192628979,1
2017/7/28,-0.390384716,-1,0.74364996,0.25635007,0.195192358,1
2017/7/31,-0.416442339,-1,0.682586849,0.317413181,0.20822117,1
2017/8/1,-0.185090027,-1,0.75234127,0.24765873,0.092545014,1
2017/8/2,0.082257986,-1,0.689728558,0.310271412,-0.041128993,0
2017/8/3,0.174645617,0,0.417624354,0.582375586,0.087322809,1
2017/8/4,0.107866564,0,0.096564323,0.903435647,0.053933282,1
2017/8/7,-0.030824557,0,0.106350958,0.893649101,-0.015412279,0
2017/8/8,0.185109061,0,0.00926042,0.990739584,0.092554531,1
2017/8/9,0.190246092,0,0.075345442,0.924654603,0.095123046,1
2017/8/10,0.200725768,0,0.004758204,0.995241761,0.100362884,1
2017/8/11,0.097729092,0,0.001318779,0.998681247,0.048864546,1
2017/9/11,0.318389834,-1,0.850035429,0.149964541,-0.159194917,0
2017/9/12,-0.179418221,-1,0.957713306,0.042286728,0.089709111,1
2017/9/13,-0.112693384,-1,0.856158912,0.143841088,0.056346692,1
2017/9/14,0.102469524,-1,0.931420863,0.068579152,-0.051234762,0
2017/9/15,-0.087012162,-1,0.990918994,0.009080986,0.043506081,1
2017/9/18,-0.066559151,-1,0.622701108,0.377298892,0.033279576,1
2017/9/19,0.230515175,-1,0.622701108,0.377298892,-0.115257588,0
2017/9/20,0.097288725,-1,0.848644137,0.151355892,-0.048644363,0
